2025-01-01 01:00:03, 5, up
2025-01-01 01:00:45, 9, up
2025-01-01 01:07:33, 3, down
2025-01-01 01:58:00, 11, down
2025-01-01 02:15:20, 7, up
2025-01-01 02:45:10, 2, down
2025-01-01 03:10:05, 15, up
2025-01-01 03:30:25, 8, down
2025-01-01 04:00:00, 1, up
2025-01-01 04:20:30, 20, down
2025-01-01 04:45:15, 6, up
2025-01-01 05:10:50, 14, down
2025-01-01 05:30:00, 10, up
2025-01-01 06:00:45, 18, down
2025-01-01 06:30:30, 4, up
2025-01-01 07:00:15, 12, down
2025-01-01 07:30:00, 20, up
2025-01-01 08:00:45, 13, down
2025-01-01 08:30:30, 17, up
2025-01-01 09:00:15, 19, down
2025-01-01 09:30:00, 18, up
2025-01-01 10:00:45, 16, down
2025-01-01 10:30:30, 3, up
2025-01-01 11:00:15, 5, down
